id,name,for_tasks,for_site_conditions,archived_at,energy_type,energy_level,image_url
46c34c31-2f88-4885-94d2-f973cd3aa963,Improper use of equipment or tools,false,false,,Mechanical,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
da8308c5-37ef-4895-993d-bd0f6679c796,Steam,true,true,,Temperature,High Energy,https://storage.googleapis.com/worker-safety-public-icons/Steam.svg
78f5391a-d554-45ff-b13a-de230817806c,Fall from elevation (>4'),true,true,,Gravity,High Energy,https://storage.googleapis.com/worker-safety-public-icons/FallFromElevation.svg
6f63f138-c0b6-4dca-8cde-e4e1b882fadc,Lightning,false,true,,Electrical,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
894c82ea-4cc4-476d-8eb4-555f53686f7b,Fire with sustained fuel source,true,false,,Temperature,High Energy,https://storage.googleapis.com/worker-safety-public-icons/FireWithSustainedFuelSource.svg
17e26f9f-a273-478e-9b51-097c3f84ea94,Explosion,true,true,,Pressure,High Energy,https://storage.googleapis.com/worker-safety-public-icons/Vector%2035-Explosion.svg
bb5c5324-d3bc-45da-bfff-5ea78aed8dba,High dose of toxic chemical or radiation,true,true,,Radiation,High Energy,https://storage.googleapis.com/worker-safety-public-icons/HighDoseOfToxicChemicalOrRadiation.svg
016a66cb-ed49-469f-a494-facf0fddbeba,High surface temperature (>150F),true,true,,Temperature,High Energy,https://storage.googleapis.com/worker-safety-public-icons/HighTemperature.svg
c320a9da-bb14-4d0b-8998-97ca037cc30e,Motor vehicle incident (occupant) >30mph,true,true,,Motion,High Energy,https://storage.googleapis.com/worker-safety-public-icons/MotorVehicleIncident.svg
0622d75e-245c-4853-8f0a-9a2c440c2a2f,People in work site,true,true,,Motion,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
10dcd38c-60e9-46dc-99cf-5931b343d68d,Emissions or pollution,true,true,,Biological,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
dcf1f3c6-4e43-40da-b8cd-b9094b06cf2f,Flying debris or other objects,true,true,,Motion,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
e0221f7e-6724-4af3-98e1-00ac35ba351f,"Bears, mountain lions",true,true,,Biological,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
1e49583a-08c8-4ea7-9ff7-4a81b166a753,Blinding light,true,true,,Radiation,Low Energy,https://storage.googleapis.com/worker-safety-public-icons/DefaultHazardIcon.svg
